,processed,nonprocessed
144,remdesivir investigational broadspectrum antiviral agent previously demonstrated vitro activity severe acute respiratory syndrome coronavirus sarscov vivo efficacy related coronaviruses animal models,"Remdesivir, an investigational broad-spectrum antiviral agent has previously demonstrated in vitro activity against Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2), and in vivo efficacy against other related coronaviruses in animal models."
145,safety profile tested compassionate use setting patients covid,Its safety profile has been tested in a compassionate use setting for patients with COVID-19.
146,current therapeutic studies demonstrate clinical effectiveness remdesivir covid patients shortening time clinical recovery hospital stay,"The current therapeutic studies demonstrate clinical effectiveness of remdesivir in COVID-19 patients by shortening time to clinical recovery, and hospital stay."
147,review critically analyze current evidence remdesivir covid dissect aspects safety efficacy,"In this review, we critically analyze the current evidence of remdesivir against COVID-19 and dissect the aspects over its safety and efficacy."
148,based existing data remdesivir regarded potential therapeutic agent covid,"Based on existing data, remdesivir can be regarded as a potential therapeutic agent against COVID-19."
149,largescale randomized placebocontrolled clinical trials however awaited validate findings,"Further large-scale, randomized placebo-controlled clinical trials are, however, awaited to validate these findings."
150,drugdrug interaction ddi common clinical problem occurred result concomitant use multiple drugs,Drug-drug interaction (DDI) is a common clinical problem that has occurred as a result of the concomitant use of multiple drugs.
151,ddi may occur patients treatment medications used coronavirus disease covid ie chloroquine lopinavir ritonavir ribavirin tocilizumab remdesivir increase risk serious adverse reactions qtprolongation retinopathy increased risk infection hepatotoxicity,"DDI may occur in patients under treatment with medications used for coronavirus disease 2019 (COVID-19; i.e., chloroquine, lopinavir/ritonavir, ribavirin, tocilizumab, and remdesivir) and increase the risk of serious adverse reactions such as QT-prolongation, retinopathy, increased risk of infection, and hepatotoxicity."
152,review focuses summarizing ddis candidate medications used covid order minimize adverse reactions,This review focuses on summarizing DDIs for candidate medications used for COVID-19 in order to minimize the adverse reactions.
153,current covid pandemic tested resolve global community million infections worldwide numbers increasing cure vaccine available date,The current COVID-19 pandemic has tested the resolve of the global community with more than 35 million infections worldwide and numbers increasing with no cure or vaccine available to date.
154,nanomedicines advantage providing enhanced permeability retention extensively studied targeted drug delivery strategies treatment different disease,Nanomedicines have an advantage of providing enhanced permeability and retention and have been extensively studied as targeted drug delivery strategies for the treatment of different disease.
155,role monocytes erythrocytes thrombocytes macrophages diseases including infectious inflammatory diseases cancer atherosclerosis better understood resulted improved strategies targeting instances mimicking cell types improve therapeutic outcomes,"The role of monocytes, erythrocytes, thrombocytes, and macrophages in diseases, including infectious and inflammatory diseases, cancer, and atherosclerosis, are better understood and have resulted in improved strategies for targeting and in some instances mimicking these cell types to improve therapeutic outcomes."
